BillingRate|Comment|CostRate|Date|Hours|ID|IsBillable|JobID|TaskID|UserID
100||75|2012-05-14|3|41kyHBeXto8pReNPEpjk98g2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-15|2|45MuO9UXWmvt9NEoP6J39PA2|false|4SXn1bX3GOxhk4wrzmJQb9A2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-15|2|43kQBR_xiNwHGp3ZNBAYPWw2|false|4-IInj-xjQdEvMX_vTujIeg2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-15|3|47Pu77xL0k992gl8TOXB0Tw2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-16|3|4zQtyTGOJEutJOBEtFZ3umg2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-17|2|4G8e3HhIpRm2H3Ylny10Pug2|false|4SXn1bX3GOxhk4wrzmJQb9A2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-17|1|4tunCWCEKoYbR76qtboEYsQ2|false|4-IInj-xjQdEvMX_vTujIeg2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-17|3|4P7-uAaQZLWziLaOESxLUXA2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-18|3|4uOzCYX2OcoIupEHfDa9tYA2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-21|1|4K5TR2-86ACcQ41yh_Q4gVw2|false|4SXn1bX3GOxhk4wrzmJQb9A2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-21|2|4DW3GWWxvbYuCtHKHDpeyrw2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-22|4|4fCV8Zf0buGa-g5j_k1l3aQ2|false|4-IInj-xjQdEvMX_vTujIeg2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-23|3|4vDf9wTeQOBwp-4bFuPUH7A2|false|4SXn1bX3GOxhk4wrzmJQb9A2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-23|2|4WuPaHedbwv_YChSA-HbHJw2|false|4pXOeOt_ghqnZif1H7dUtVQ2|46v3MLel1CTGHD7u9odU5qw2|4L7d9-_eoPMx6qmGd0jImLA2
100||75|2012-05-24|4|4RydLdciWpQkb15jyfSM6qg2|false|4-IInj-xjQdEvMX_vTujIeg2|4WlrYJgAMQvz1lXLgu6gcGg2|4L7d9-_eoPMx6qmGd0jImLA2
